Block,Description,Package (if applicable),Digikey # (if applicable),Quantity,,1
Main PCB,Ordering from OSHPark.com,N/A,N/A,1,,1
Battery Charger,Battery Charger Chip,12-TSSOP,LT3652EMSE#PBF-ND,1,,
,Battery (3400mAh),N/A,N/A,2,,
,270KOhm Resistor,603,311-270KHRCT-ND,1,,
,100KOhm Resistor,603,311-100KHRCT-ND,1,,
,649KOhm Resistor,603,311-649KHRCT-ND,1,,
,470KOhm Resistor,603,311-470KHRCT-ND,1,,
,10K Ohm Resistor,603,311-10.0KHRCT-ND,1,,
,.5 Ohm Sense Resistor,2512,CSRN2512FKR500CT-ND,1,,
,Diode,DO-214AC,S1AFSCT-ND,1,,
,Schottky Diode,DO-214AC,CMSH3-40MA TR13CT-ND,3,,
,10uH Inductor,1210,732-3052-1-ND,1,,
,Ripple Capacitor 10uF (50V),1206,1276-2876-1-ND,3,,
,Ripple Capacitor 1uF (50V),805,1276-1029-1-ND,1,,
,LED (Green),805,475-1410-1-ND,1,,
,LED (Red),805,475-1415-1-ND,1,,
Solar Panel,Solar Panel,N/A,N/A,2,,
Power Delivery,IC Regulator 3.3V,TO-263-3,LM317BD2TGOS-ND,1,,
,IC Regulator 5V,TO-252-3,LP38691DT-5.0/NOPB-ND,1,,
,390 Ohm Resistor,603,1276-4610-1-ND,1,,
,240 Ohm Resistor,603,1276-4590-1-ND,1,,
,Ripple Capacitor 1uF,603,1276-1184-1-ND,2,,
,Ripple Capacitor 10uF,603,1276-1871-6-ND,2,,
Moteino,Moteino (+Transceiver),Custom,N/A,1,,
3G Modem,Adafruit FONA 3G Modem,Custom,N/A,1,,
,Ting SIM Card,N/A,N/A,1,,
,Antenna,,,,,
Enclosure,Hub Enclosure,N/A,SR172-CB-ND,1,,
,Hub Gasket,,SRPS-17-ND,1,,
